# x    f(x)    r1(x)   r2(x)   err1    err2
0.0000 0.000000 0.000000 0.000000 0.000E+000 0.000E+000
0.0314 0.062703 -0.007548 0.015186 7.025E-002 4.752E-002
0.0628 0.124635 -0.013554 0.031012 1.382E-001 9.362E-002
0.0942 0.185046 -0.017864 0.047507 2.029E-001 1.375E-001
0.1257 0.243221 -0.020318 0.064704 2.635E-001 1.785E-001
0.1571 0.298501 -0.020743 0.082636 3.192E-001 2.159E-001
0.1885 0.350299 -0.018959 0.101334 3.693E-001 2.490E-001
0.2199 0.398113 -0.014782 0.120833 4.129E-001 2.773E-001
0.2513 0.441539 -0.008020 0.141166 4.496E-001 3.004E-001
0.2827 0.480281 0.001523 0.162368 4.788E-001 3.179E-001
0.3142 0.514159 0.014043 0.184471 5.001E-001 3.297E-001
0.3456 0.543113 0.029734 0.207510 5.134E-001 3.356E-001
0.3770 0.567202 0.048785 0.231519 5.184E-001 3.357E-001
0.4084 0.586608 0.071375 0.256529 5.152E-001 3.301E-001
0.4398 0.601626 0.097667 0.282572 5.040E-001 3.191E-001
0.4712 0.612660 0.127805 0.309678 4.849E-001 3.030E-001
0.5027 0.620212 0.161904 0.337877 4.583E-001 2.823E-001
0.5341 0.624869 0.200048 0.367193 4.248E-001 2.577E-001
0.5655 0.627290 0.242276 0.397651 3.850E-001 2.296E-001
0.5969 0.628189 0.288582 0.429270 3.396E-001 1.989E-001
0.6283 0.628319 0.338903 0.462068 2.894E-001 1.663E-001
0.6597 0.628448 0.393116 0.496057 2.353E-001 1.324E-001
0.6912 0.629347 0.451027 0.531244 1.783E-001 9.810E-002
0.7226 0.631768 0.512377 0.567630 1.194E-001 6.414E-002
0.7540 0.636425 0.576829 0.605212 5.960E-002 3.121E-002
0.7854 0.643977 0.643977 0.643977 0.000E+000 0.000E+000
0.8168 0.655011 0.713345 0.683906 5.833E-002 2.890E-002
0.8482 0.670029 0.784397 0.724973 1.144E-001 5.494E-002
0.8796 0.689435 0.856542 0.767139 1.671E-001 7.770E-002
0.9111 0.713524 0.929150 0.810360 2.156E-001 9.684E-002
0.9425 0.742478 1.001565 0.854577 2.591E-001 1.121E-001
0.9739 0.776356 1.073122 0.899723 2.968E-001 1.234E-001
1.0053 0.815098 1.143166 0.945720 3.281E-001 1.306E-001
1.0367 0.858524 1.211069 0.992478 3.525E-001 1.340E-001
1.0681 0.906338 1.276244 1.039895 3.699E-001 1.336E-001
1.0996 0.958136 1.338168 1.087858 3.800E-001 1.297E-001
1.1310 1.013416 1.396387 1.136243 3.830E-001 1.228E-001
1.1624 1.071591 1.450531 1.184914 3.789E-001 1.133E-001
1.1938 1.132002 1.500320 1.233727 3.683E-001 1.017E-001
1.2252 1.193934 1.545566 1.282529 3.516E-001 8.859E-002
1.2566 1.256637 1.586175 1.331157 3.295E-001 7.452E-002
1.2881 1.319340 1.622140 1.379445 3.028E-001 6.011E-002
1.3195 1.381272 1.653541 1.427221 2.723E-001 4.595E-002
1.3509 1.441683 1.680532 1.474312 2.388E-001 3.263E-002
1.3823 1.499858 1.703337 1.520543 2.035E-001 2.069E-002
1.4137 1.555138 1.722237 1.565744 1.671E-001 1.061E-002
1.4451 1.606936 1.737560 1.609747 1.306E-001 2.811E-003
1.4765 1.654750 1.749673 1.652396 9.492E-002 2.354E-003
1.5080 1.698176 1.758972 1.693542 6.080E-002 4.634E-003
1.5394 1.736918 1.765870 1.733048 2.895E-002 3.870E-003
1.5708 1.770796 1.770796 1.770796 0.000E+000 0.000E+000
1.6022 1.799750 1.774182 1.806683 2.557E-002 6.933E-003
1.6336 1.823839 1.776457 1.840626 4.738E-002 1.679E-002
1.6650 1.843245 1.778048 1.872562 6.520E-002 2.932E-002
1.6965 1.858263 1.779367 1.902454 7.890E-002 4.419E-002
1.7279 1.869297 1.780814 1.930285 8.848E-002 6.099E-002
1.7593 1.876849 1.782770 1.956063 9.408E-002 7.921E-002
1.7907 1.881506 1.785596 1.979823 9.591E-002 9.832E-002
1.8221 1.883927 1.789629 2.001619 9.430E-002 1.177E-001
1.8535 1.884827 1.795179 2.021533 8.965E-002 1.367E-001
1.8850 1.884956 1.802532 2.039666 8.242E-002 1.547E-001
1.9164 1.885085 1.811939 2.056142 7.315E-002 1.711E-001
1.9478 1.885984 1.823622 2.071104 6.236E-002 1.851E-001
1.9792 1.888405 1.837768 2.084712 5.064E-002 1.963E-001
2.0106 1.893062 1.854529 2.097141 3.853E-002 2.041E-001
2.0420 1.900614 1.874016 2.108579 2.660E-002 2.080E-001
2.0735 1.911648 1.896304 2.119227 1.534E-002 2.076E-001
2.1049 1.926666 1.921425 2.129292 5.241E-003 2.026E-001
2.1363 1.946072 1.949371 2.138988 3.299E-003 1.929E-001
2.1677 1.970161 1.980091 2.148535 9.930E-003 1.784E-001
2.1991 1.999115 2.013494 2.158150 1.438E-002 1.590E-001
2.2305 2.032993 2.049445 2.168053 1.645E-002 1.351E-001
2.2619 2.071735 2.087774 2.178459 1.604E-002 1.067E-001
2.2934 2.115161 2.128270 2.189580 1.311E-002 7.442E-002
2.3248 2.162975 2.170694 2.201620 7.718E-003 3.864E-002
2.3562 2.214773 2.214773 2.214773 0.000E+000 0.000E+000
2.3876 2.270053 2.260215 2.229224 9.839E-003 4.083E-002
2.4190 2.328228 2.306706 2.245146 2.152E-002 8.308E-002
2.4504 2.388639 2.353922 2.262697 3.472E-002 1.259E-001
2.4819 2.450571 2.401534 2.282019 4.904E-002 1.686E-001
2.5133 2.513274 2.449214 2.303240 6.406E-002 2.100E-001
2.5447 2.575977 2.496643 2.326469 7.933E-002 2.495E-001
2.5761 2.637909 2.543518 2.351794 9.439E-002 2.861E-001
2.6075 2.698320 2.589556 2.379285 1.088E-001 3.190E-001
2.6389 2.756495 2.634502 2.408992 1.220E-001 3.475E-001
2.6704 2.811775 2.678132 2.440942 1.336E-001 3.708E-001
2.7018 2.863573 2.720259 2.475139 1.433E-001 3.884E-001
2.7332 2.911387 2.760735 2.511567 1.507E-001 3.998E-001
2.7646 2.954813 2.799452 2.550186 1.554E-001 4.046E-001
2.7960 2.993555 2.836346 2.590933 1.572E-001 4.026E-001
2.8274 3.027433 2.871391 2.633725 1.560E-001 3.937E-001
2.8588 3.056387 2.904608 2.678454 1.518E-001 3.779E-001
2.8903 3.080477 2.936054 2.724996 1.444E-001 3.555E-001
2.9217 3.099882 2.965823 2.773202 1.341E-001 3.267E-001
2.9531 3.114900 2.994046 2.822908 1.209E-001 2.920E-001
2.9845 3.125934 3.020884 2.873934 1.051E-001 2.520E-001
3.0159 3.133486 3.046525 2.926083 8.696E-002 2.074E-001
3.0473 3.138143 3.071179 2.979146 6.696E-002 1.590E-001
3.0788 3.140564 3.095078 3.032905 4.549E-002 1.077E-001
3.1102 3.141464 3.118464 3.087131 2.300E-002 5.433E-002
3.1416 3.141593 3.141593 3.141593 0.000E+000 0.000E+000
3.1730 3.141722 3.164721 3.196054 2.300E-002 5.433E-002
3.2044 3.142621 3.188107 3.250280 4.549E-002 1.077E-001
3.2358 3.145042 3.212006 3.304039 6.696E-002 1.590E-001
3.2673 3.149699 3.236661 3.357102 8.696E-002 2.074E-001
3.2987 3.157251 3.262301 3.409251 1.051E-001 2.520E-001
