Training done in 50000 iterations, SSE=1.399986E-004
#  x    g(x)    net(x)    net'(x)    net''(x)    A(x)
 -1.000    0.45323    0.35156    0.26511  -11.35532     -17.55799
 -0.990    0.45464    0.35364    0.14980  -11.70318     -17.55446
 -0.980    0.45498    0.35455    0.03113  -12.02753     -17.55092
 -0.970    0.45423    0.35425   -0.09067  -12.32620     -17.54737
 -0.960    0.45233    0.35272   -0.21531  -12.59707     -17.54384
 -0.950    0.44926    0.34994   -0.34251  -12.83803     -17.54032
 -0.940    0.44498    0.34587   -0.47196  -13.04701     -17.53684
 -0.930    0.43946    0.34049   -0.60333  -13.22202     -17.53341
 -0.920    0.43268    0.33380   -0.73628  -13.36110     -17.53004
 -0.910    0.42462    0.32576   -0.87043  -13.46239     -17.52674
 -0.900    0.41526    0.31638   -1.00540  -13.52413     -17.52353
 -0.890    0.40458    0.30565   -1.14077  -13.54462     -17.52041
 -0.880    0.39258    0.29357   -1.27615  -13.52232     -17.51742
 -0.870    0.37926    0.28013   -1.41107  -13.45579     -17.51455
 -0.860    0.36461    0.26535   -1.54511  -13.34372     -17.51182
 -0.850    0.34864    0.24923   -1.67779  -13.18497     -17.50925
 -0.840    0.33136    0.23180   -1.80865  -12.97854     -17.50684
 -0.830    0.31279    0.21307   -1.93720  -12.72361     -17.50461
 -0.820    0.29295    0.19307   -2.06296  -12.41952     -17.50258
 -0.810    0.27187    0.17182   -2.18543  -12.06581     -17.50076
 -0.800    0.24957    0.14937   -2.30411  -11.66223     -17.49915
 -0.790    0.22610    0.12575   -2.41850  -11.20871     -17.49777
 -0.780    0.20150    0.10102   -2.52812  -10.70539     -17.49664
 -0.770    0.17582    0.07521   -2.63245  -10.15265     -17.49576
 -0.760    0.14911    0.04839   -2.73101   -9.55107     -17.49514
 -0.750    0.12143    0.02061   -2.82331   -8.90146     -17.49479
 -0.740    0.09284   -0.00806   -2.90888   -8.20487     -17.49473
 -0.730    0.06341   -0.03754   -2.98725   -7.46258     -17.49496
 -0.720    0.03322   -0.06778   -3.05798   -6.67608     -17.49548
 -0.710    0.00234   -0.09868   -3.12063   -5.84711     -17.49631
 -0.700   -0.02914   -0.13016   -3.17479   -4.97765     -17.49746
 -0.690   -0.06113   -0.16214   -3.22006   -4.06989     -17.49892
 -0.680   -0.09355   -0.19453   -3.25607   -3.12625     -17.50070
 -0.670   -0.12629   -0.22723   -3.28247   -2.14937     -17.50281
 -0.660   -0.15927   -0.26015   -3.29896   -1.14209     -17.50525
 -0.650   -0.19237   -0.29318   -3.30522   -0.10748     -17.50801
 -0.640   -0.22549   -0.32622   -3.30102    0.95121     -17.51111
 -0.630   -0.25853   -0.35916   -3.28613    2.03055     -17.51454
 -0.620   -0.29137   -0.39190   -3.26036    3.12693     -17.51829
 -0.610   -0.32391   -0.42433   -3.22355    4.23657     -17.52237
 -0.600   -0.35603   -0.45634   -3.17559    5.35556     -17.52678
 -0.590   -0.38762   -0.48781   -3.11642    6.47984     -17.53150
 -0.580   -0.41856   -0.51863   -3.04599    7.60523     -17.53653
 -0.570   -0.44874   -0.54869   -2.96433    8.72748     -17.54187
 -0.560   -0.47805   -0.57788   -2.87147    9.84221     -17.54750
 -0.550   -0.50637   -0.60608   -2.76752   10.94502     -17.55342
 -0.540   -0.53359   -0.63319   -2.65262   12.03144     -17.55962
 -0.530   -0.55960   -0.65910   -2.52696   13.09697     -17.56608
 -0.520   -0.58429   -0.68370   -2.39077   14.13711     -17.57280
 -0.510   -0.60757   -0.70688   -2.24432   15.14739     -17.57975
 -0.500   -0.62931   -0.72855   -2.08793   16.12336     -17.58693
 -0.490   -0.64944   -0.74861   -1.92198   17.06062     -17.59432
 -0.480   -0.66785   -0.76696   -1.74687   17.95488     -17.60190
 -0.470   -0.68445   -0.78352   -1.56304   18.80190     -17.60965
 -0.460   -0.69916   -0.79819   -1.37100   19.59761     -17.61756
 -0.450   -0.71189   -0.81091   -1.17127   20.33806     -17.62561
 -0.440   -0.72258   -0.82159   -0.96443   21.01947     -17.63377
 -0.430   -0.73116   -0.83018   -0.75109   21.63822     -17.64203
 -0.420   -0.73756   -0.83660   -0.53189   22.19094     -17.65037
 -0.410   -0.74173   -0.84080   -0.30750   22.67443     -17.65876
 -0.400   -0.74362   -0.84273   -0.07864   23.08578     -17.66718
 -0.390   -0.74319   -0.84236    0.15396   23.42229     -17.67561
 -0.380   -0.74040   -0.83964    0.38955   23.68156     -17.68402
 -0.370   -0.73525   -0.83456    0.62733   23.86149     -17.69239
 -0.360   -0.72769   -0.82709    0.86651   23.96025     -17.70070
 -0.350   -0.71774   -0.81723    1.10626   23.97636     -17.70892
 -0.340   -0.70538   -0.80497    1.34575   23.90865     -17.71704
 -0.330   -0.69062   -0.79032    1.58415   23.75629     -17.72502
 -0.320   -0.67349   -0.77329    1.82060   23.51879     -17.73284
 -0.310   -0.65400   -0.75391    2.05424   23.19601     -17.74047
 -0.300   -0.63219   -0.73222    2.28423   22.78820     -17.74791
 -0.290   -0.60810   -0.70824    2.50972   22.29591     -17.75511
 -0.280   -0.58179   -0.68204    2.72987   21.72012     -17.76206
