# dr   epsilon0
0.05 -0.499687148171695
0.06 -0.499550008988217
0.07 -0.499388164846763
0.08 -0.499201799917205
0.09 -0.498990813005422
0.1 -0.498755453842537
0.11 -0.498495671671003
0.12 -0.498212021318428
0.13 -0.497904208637678
0.14 -0.497572854668088
0.15 -0.497217766305096
0.16 -0.496839405026368
0.17 -0.496437753883159
0.18 -0.496013349406801
0.19 -0.495566152153033
0.2 -0.495096396958455
0.21 -0.494604754718691
0.22 -0.494091122898613
0.23 -0.493555790937855
0.24 -0.492999041348433
0.25 -0.492421146935869
0.26 -0.491822994172341
0.27 -0.491204337077652
0.28 -0.490565019388174
0.29 -0.48990642202409
0.3 -0.48922833755728
0.31 -0.488531113242329
0.32 -0.487815097050483
0.33 -0.48708063767021
0.34 -0.486328083749357
0.35 -0.485557782312504
0.36 -0.484770076075629
0.37 -0.483966267697959
0.38 -0.483145003530548
0.39 -0.482307402947241
0.4 -0.481453778314993
0.41 -0.480585949362673
0.42 -0.479701703985463
0.43 -0.478803977530666
0.44 -0.477890580247521
0.45 -0.476964507798799
0.46 -0.476023411018504
0.47 -0.47507053604499
0.48 -0.474103159083528
0.49 -0.47312502046338
