# i   r     f0_num    f0_ana    f1_num    f1_ana    f2_num    f2_ana
  0  0.200   0.32472   0.32751   0.11718   0.11529   0.10457   0.07937
  1  0.400   0.53242   0.53628   0.18865   0.18546   0.16754   0.12725
  2  0.600   0.65472   0.65861   0.22427   0.22025   0.19735   0.15017
  3  0.800   0.71565   0.71896   0.23221   0.22776   0.20128   0.15366
  4  1.000   0.73337   0.73580   0.21924   0.21467   0.18551   0.14240
  5  1.200   0.72146   0.72290   0.19090   0.18647   0.15529   0.12033
  6  1.400   0.69003   0.69051   0.15174   0.14764   0.11506   0.09073
  7  1.600   0.64650   0.64610   0.10541   0.10178   0.06849   0.05630
  8  1.800   0.59626   0.59511   0.05486   0.05180   0.01865   0.01928
  9  2.000   0.54313   0.54137   0.00242   0.00000  -0.03198  -0.01855
 10  2.200   0.48978   0.48756  -0.05010  -0.05184  -0.08140  -0.05575
 11  2.400   0.43803   0.43547  -0.10129  -0.10234  -0.12803  -0.09118
 12  2.600   0.38902   0.38624  -0.15011  -0.15047  -0.17067  -0.12400
 13  2.800   0.34345   0.34055  -0.19581  -0.19550  -0.20843  -0.15358
 14  3.000   0.30168   0.29874  -0.23786  -0.23692  -0.24067  -0.17946
 15  3.200   0.26380   0.26089  -0.27592  -0.27440  -0.26702  -0.20136
 16  3.400   0.22978   0.22695  -0.30983  -0.30777  -0.28725  -0.21913
 17  3.600   0.19946   0.19674  -0.33953  -0.33699  -0.30135  -0.23273
 18  3.800   0.17260   0.17003  -0.36505  -0.36209  -0.30939  -0.24220
 19  4.000   0.14895   0.14653  -0.38652  -0.38320  -0.31158  -0.24765
 20  4.200   0.12821   0.12597  -0.40409  -0.40047  -0.30821  -0.24925
 21  4.400   0.11011   0.10805  -0.41798  -0.41413  -0.29962  -0.24721
 22  4.600   0.09438   0.09248  -0.42843  -0.42440  -0.28623  -0.24178
 23  4.800   0.08073   0.07901  -0.43568  -0.43153  -0.26847  -0.23322
 24  5.000   0.06894   0.06738  -0.44000  -0.43579  -0.24682  -0.22181
 25  5.200   0.05878   0.05738  -0.44165  -0.43743  -0.22174  -0.20784
 26  5.400   0.05004   0.04878  -0.44089  -0.43671  -0.19372  -0.19159
 27  5.600   0.04254   0.04142  -0.43798  -0.43390  -0.16325  -0.17335
 28  5.800   0.03612   0.03512  -0.43316  -0.42922  -0.13080  -0.15341
 29  6.000   0.03064   0.02975  -0.42667  -0.42291  -0.09682  -0.13204
 30  6.200   0.02595   0.02517  -0.41874  -0.41519  -0.06176  -0.10949
 31  6.400   0.02196   0.02127  -0.40956  -0.40627  -0.02604  -0.08601
 32  6.600   0.01857   0.01796  -0.39932  -0.39632   0.00996  -0.06183
 33  6.800   0.01568   0.01515  -0.38822  -0.38554   0.04585  -0.03719
 34  7.000   0.01323   0.01277  -0.37640  -0.37407   0.08131  -0.01226
 35  7.200   0.01116   0.01075  -0.36403  -0.36207   0.11601   0.01274
 36  7.400   0.00940   0.00905  -0.35122  -0.34967   0.14967   0.03767
 37  7.600   0.00792   0.00761  -0.33811  -0.33698   0.18203   0.06236
 38  7.800   0.00666   0.00639  -0.32479  -0.32411   0.21286   0.08667
 39  8.000   0.00560   0.00537  -0.31137  -0.31116   0.24197   0.11047
 40  8.200   0.00471   0.00450  -0.29793  -0.29821   0.26917   0.13367
 41  8.400   0.00395   0.00378  -0.28455  -0.28533   0.29433   0.15615
 42  8.600   0.00332   0.00317  -0.27128  -0.27258   0.31731   0.17784
 43  8.800   0.00278   0.00265  -0.25818  -0.26003   0.33802   0.19867
 44  9.000   0.00233   0.00222  -0.24530  -0.24771   0.35638   0.21858
 45  9.200   0.00196   0.00186  -0.23268  -0.23566   0.37233   0.23752
 46  9.400   0.00164   0.00156  -0.22034  -0.22392   0.38585   0.25545
 47  9.600   0.00137   0.00130  -0.20832  -0.21252   0.39690   0.27234
 48  9.800   0.00115   0.00109  -0.19663  -0.20146   0.40550   0.28817
 49 10.000   0.00096   0.00091  -0.18529  -0.19078   0.41165   0.30293
 50 10.200   0.00080   0.00076  -0.17431  -0.18048   0.41540   0.31661
 51 10.400   0.00067   0.00063  -0.16369  -0.17057   0.41677   0.32922
 52 10.600   0.00056   0.00053  -0.15344  -0.16105   0.41583   0.34076
 53 10.800   0.00047   0.00044  -0.14356  -0.15193   0.41264   0.35124
 54 11.000   0.00039   0.00037  -0.13404  -0.14320   0.40728   0.36068
 55 11.200   0.00033   0.00031  -0.12487  -0.13486   0.39982   0.36911
 56 11.400   0.00027   0.00026  -0.11606  -0.12690   0.39037   0.37653
 57 11.600   0.00023   0.00021  -0.10758  -0.11933   0.37901   0.38299
 58 11.800   0.00019   0.00018  -0.09943  -0.11212   0.36585   0.38851
 59 12.000   0.00016   0.00015  -0.09160  -0.10528   0.35100   0.39312
 60 12.200   0.00013   0.00012  -0.08406  -0.09878   0.33455   0.39686
 61 12.400   0.00011   0.00010  -0.07681  -0.09263   0.31663   0.39976
 62 12.600   0.00009   0.00008  -0.06982  -0.08680   0.29734   0.40186
 63 12.800   0.00007   0.00007  -0.06308  -0.08130   0.27680   0.40319
 64 13.000   0.00006   0.00006  -0.05658  -0.07609   0.25512   0.40380
 65 13.200   0.00005   0.00005  -0.05029  -0.07118   0.23241   0.40371
 66 13.400   0.00004   0.00004  -0.04420  -0.06655   0.20880   0.40297
 67 13.600   0.00003   0.00003  -0.03828  -0.06219   0.18439   0.40162
 68 13.800   0.00003   0.00003  -0.03251  -0.05808   0.15928   0.39969
 69 14.000   0.00002   0.00002  -0.02688  -0.05422   0.13360   0.39722
 70 14.200   0.00002   0.00002  -0.02137  -0.05059   0.10743   0.39424
 71 14.400   0.00001   0.00002  -0.01594  -0.04718   0.08090   0.39079
 72 14.600   0.00001   0.00001  -0.01059  -0.04398   0.05408   0.38692
 73 14.800   0.00000   0.00001  -0.00528  -0.04098   0.02708   0.38264
