phi	 u1	 u1'	 u2	 u2'	 u3	 u3'
0	1	0	1	-0.5	1	-0.5
0.1	1	0	0.950071086226912	-0.497511068351768	0.950119261825577	-0.496561635489617
0.2	1	0	0.900627247658413	-0.490025234579613	0.900814381370865	-0.488228844810115
0.3	1	0	0.852171040104878	-0.477646963559203	0.852574404801056	-0.475112448027378
0.4	1	0	0.805183321656856	-0.46048861236515	0.8058747135719	-0.457319171249048
0.5	1	0	0.76014310784862	-0.438721283038121	0.761177462694446	-0.435022979442894
0.6	1	0	0.717509561840068	-0.412564295962859	0.718936487931014	-0.408441818763513
0.7	1	0	0.677696348948643	-0.382271288410479	0.679553412498063	-0.377824021227874
0.8	1	0	0.641114282457696	-0.34816172909845	0.643427276810038	-0.343482494707317
0.9	1	0	0.608122119843212	-0.310560261519938	0.610911815244053	-0.305746455607867
1	1	0	0.579052874499477	-0.269856339853143	0.582327285658253	-0.264985523850831
1.1	1	0	0.554196834735138	-0.226450316642581	0.557957721706984	-0.221611057581748
1.2	1	0	0.533801695687035	-0.180781065433422	0.538042913341622	-0.17603752575678
1.3	1	0	0.518072195202415	-0.133300810782768	0.522779433687433	-0.128728499814467
1.4	1	0	0.507163987985682	-0.0844920812725171	0.512318719353831	-0.0801415992133697
1.5	1	0	0.50118796816046	-0.0348316775150645	0.506763703059945	-0.0307623886536403
1.6	1	0	0.500201262993156	0.0151697109434869	0.506168747266686	0.0189185582401777
1.7	1	0	0.504215860241911	0.0650252744005049	0.510541049181529	0.0684182426113128
1.8	1	0	0.51319012779826	0.114227521660559	0.51983543466538	0.117233749879424
1.9	1	0	0.527034732381103	0.162285769092311	0.533961601895871	0.164895174652162
2	1	0	0.545612141813026	0.208727323194087	0.552778861639794	0.210921324240866
2.1	1	0	0.568735190659914	0.253073672492445	0.576101465385322	0.254861607027795
2.2	1	0	0.596174955891851	0.294897229197303	0.603699927620024	0.296285736471137
2.3	1	0	0.627654611838842	0.333763290971682	0.635299610228258	0.334777017689188
2.4	1	0	0.662862900663046	0.369298498514116	0.67059200325691	0.369968315877519
2.5	1	0	0.701443282934688	0.401131389339079	0.709224604503003	0.401502874212556
2.6	1	0	0.743016745715031	0.428960001940835	0.750820746723049	0.429080794852997
2.7	1	0	0.787157626913633	0.452486915620349	0.794969325174303	0.452431518855508
2.8	1	0	0.833437278757998	0.471495095999266	0.841230026287238	0.471320139488536
2.9	1	0	0.88138128297536	0.48578022462456	0.889160089720258	0.485579684289047
3	1	0	0.930513210316712	0.49520219219841	0.938275482817016	0.495061193649994
3.1	1	0	0.980350058862407	0.499672474458049	0.988096315471945	0.499678585512212
3.2	1	0	1.03037856432559	0.4991372864606	1.03814462308609	0.499397315347005
3.3	1	0	1.08010260330263	0.493604354208359	1.08791838148878	0.494218705716355
3.4	1	0	1.12903578032338	0.48313155535108	1.13692312677241	0.484197318903276
3.5	1	0	1.17667746600101	0.467820449630783	1.18469557976933	0.46943893217925
3.6	1	0	1.22254246128491	0.447824895614401	1.23076569587392	0.450090416577205
3.7	1	0	1.26618453455255	0.423344275392853	1.27467661969842	0.42634462188359
3.8	1	0	1.30716886290357	0.394621731053452	1.31599491131332	0.39843885283862
3.9	1	0	1.34507858973331	0.361945628917664	1.354321440465	0.366648323386056
4	1	0	1.37952963952797	0.325645550360398	1.38929041288155	0.331281405107222
4.1	1	0	1.41017576712553	0.286087243642112	1.42055710397046	0.292685537974582
4.2	1	0	1.43671884057176	0.243659440846788	1.44781420018443	0.251239783090886
4.3	1	0	1.45889154442315	0.198786276559684	1.47079481283215	0.20735071936854
4.4	1	0	1.47646880351254	0.151919306637959	1.48927486651697	0.161448269234828
4.5	1	0	1.48927291519376	0.103530422073293	1.50307601190402	0.113978762136636
4.6	1	0	1.49717521363635	0.05410688340153	1.51206663975556	0.0653967800152344
4.7	1	0	1.50009730211485	0.00414548373810561	1.51615779434883	0.0161752966066667
4.8	1	0	1.498011039893	-0.0458616750656651	1.51530859827134	-0.0332058587459697
4.9	1	0	1.49093607703106	-0.0954147448306266	1.50952690636538	-0.082265324764392
5	1	0	1.4789424602095	-0.144014937314003	1.49886918816668	-0.130524830669126
5.1	1	0	1.46215049244119	-0.191173101576637	1.48343997209425	-0.177513788194489
5.2	1	0	1.44072951690933	-0.236414763835047	1.46339065411089	-0.222774172571812
5.3	1	0	1.41489622430971	-0.279285034435497	1.43891336252001	-0.265871167886244
5.4	1	0	1.38490966247307	-0.319356041671179	1.41024441738686	-0.30638536727207
5.5	1	0	1.35106380012189	-0.356232711384459	1.37766319808771	-0.343918930099729
5.6	1	0	1.31369818251576	-0.389543490816432	1.3414881700507	-0.378102595521128
5.7	1	0	1.27318935978643	-0.418952573074424	1.30207391012579	-0.408599466698842
5.8	1	0	1.22994664120175	-0.44416418832183	1.25980777163847	-0.435108572162863
5.9	1	0	1.18440797332327	-0.464925972482277	1.2151030493545	-0.457368790626937
5.99999999999999	1	0	1.13702205732903	-0.481032169902784	1.16838629749289	-0.475161105748122
6.09999999999999	1	0	1.08825693621703	-0.492320991644534	1.12011566643757	-0.488305709559919
6.19999999999999	1	0	1.03860681890723	-0.498678818039319	1.07076775093419	-0.496668870420588
6.29999999999999	1	0	0.988576114931601	-0.500044308076574	1.02083133597984	-0.500165488248355
6.39999999999999	1	0	0.938666282163472	-0.496405672526193	0.970797532363914	-0.498758527475113
6.49999999999999	1	0	0.889362272989986	-0.487792050859303	0.921143203895211	-0.492450850097594
6.59999999999999	1	0	0.841166011124159	-0.474293865130648	0.872361409643899	-0.481301091131842
6.69999999999999	1	0	0.794568658165623	-0.456055465235338	0.824939949069403	-0.465421321315545
6.79999999999999	1	0	0.750023768308538	-0.433246099612785	0.779342511719115	-0.444962095943525
6.89999999999999	1	0	0.70798028729458	-0.406097569905763	0.73600956839029	-0.420109852645849
6.99999999999999	1	0	0.668865635217621	-0.374895124315287	0.695377442664673	-0.391120473368895
7.09999999999999	1	0	0.633062090462335	-0.33993019231873	0.657844742558244	-0.358273420285942
7.19999999999999	1	0	0.600933309361512	-0.301571856116398	0.623778202275597	-0.321880387903295
7.29999999999999	1	0	0.572798526868383	-0.260191482786835	0.593518580848987	-0.282318169595379
7.39999999999999	1	0	0.548938991474663	-0.216211029208344	0.567361771619686	-0.239953914585908
7.49999999999999	1	0	0.529593796163583	-0.170065626632678	0.545566863643154	-0.195226655827512
7.59999999999999	1	0	0.514955044104897	-0.122222840517647	0.528350112849908	-0.148558550184094
7.69999999999999	1	0	0.505170533500182	-0.0731521088948819	0.515879575647012	-0.100429306750161
7.79999999999999	1	0	0.50033568778398	-0.0233567806427413	0.508280994921526	-0.051297765204924
7.89999999999999	1	0	0.500501137297083	0.0266792341053003	0.505626763919593	-0.00166551416530006
7.99999999999999	1	0	0.505662984005095	0.0764428024216751	0.507944925298838	0.0479868015985593
8.09999999999999	1	0	0.515770759493187	0.125443017440599	0.515211765281523	0.0971644473002031
8.19999999999999	1	0	0.530723594724172	0.173192603295005	0.527355001619163	0.145376400725578
8.29999999999999	1	0	0.550371023305051	0.219203695498962	0.544255713902423	0.192156996620599
8.39999999999999	1	0	0.574518443427645	0.26303067406828	0.56574533054849	0.237029087979051
8.49999999999999	1	0	0.602922425319216	0.304218906489857	0.591613228852474	0.279564856961889
8.59999999999999	1	0	0.635301769544712	0.342371835863436	0.621602096737588	0.319331025141852
8.69999999999999	1	0	0.671329530360906	0.377092789070629	0.655418061248961	0.355949004525876
8.79999999999998	1	0	0.710650213298593	0.408049158454799	0.692724418336867	0.389046513124963
8.89999999999998	1	0	0.752863572680808	0.434914186662946	0.733158104663559	0.41831367275093
8.99999999999998	1	0	0.797557772293883	0.457437137413775	0.776312500181058	0.443447458368976
9.09999999999998	1	0	0.844272744406306	0.47537417873545	0.821773993476544	0.464222455124321
9.19999999999998	1	0	0.892553503300581	0.488558923961722	0.869083632666018	0.480422498562037
9.29999999999998	1	0	0.941913522640032	0.496855267190731	0.917781271221832	0.491897880824151
9.39999999999998	1	0	0.991847252055356	0.500172407394839	0.967394638919135	0.498545011165573
9.49999999999998	1	0	1.04187312526973	0.498486709846836	1.01742348938516	0.500294220921648
9.59999999999998	1	0	1.09148432076327	0.49181092044127	1.06738093026235	0.497135808728291
9.69999999999998	1	0	1.14017259658123	0.480209119102614	1.11678876900807	0.489109074466903
9.79999999999998	1	0	1.18745942973232	0.463799095868639	1.1651537212336	0.476293612899118
9.89999999999998	1	0	1.23285054507612	0.442694765843436	1.2119948480524	0.458819250294901
9.99999999999998	1	0	1.27595087774112	0.417263633129366	1.25685761676638	0.436865022725196
