r	f_numeric	f_exact
0.001	0.000999	0.000999
0.0010531	0.001052	0.001052
0.0011039	0.0011027	0.0011027
0.0011532	0.0011519	0.0011519
0.0012017	0.0012003	0.0012003
0.0012496	0.0012481	0.0012481
0.0012972	0.0012955	0.0012955
0.0013446	0.0013428	0.0013428
0.0013918	0.0013899	0.0013899
0.001439	0.0014369	0.0014369
0.0014861	0.0014838	0.0014838
0.0015331	0.0015307	0.0015307
0.0015801	0.0015776	0.0015776
0.0016271	0.0016245	0.0016245
0.0016741	0.0016713	0.0016713
0.0017211	0.0017181	0.0017181
0.001768	0.0017649	0.0017649
0.001815	0.0018117	0.0018117
0.0018619	0.0018585	0.0018585
0.0019089	0.0019052	0.0019052
0.0019558	0.001952	0.001952
0.0020028	0.0019987	0.0019987
0.0020497	0.0020455	0.0020455
0.0020966	0.0020922	0.0020922
0.0021435	0.0021389	0.0021389
0.0021905	0.0021857	0.0021857
0.0022374	0.0022324	0.0022324
0.0022843	0.0022791	0.0022791
0.0023312	0.0023258	0.0023258
0.0023781	0.0023725	0.0023725
0.002425	0.0024191	0.0024191
0.0024719	0.0024658	0.0024658
0.0025188	0.0025125	0.0025125
0.0025657	0.0025592	0.0025592
0.0026126	0.0026058	0.0026058
0.0026595	0.0026525	0.0026525
0.0027064	0.0026991	0.0026991
0.0027533	0.0027457	0.0027457
0.0028002	0.0027924	0.0027924
0.0028471	0.002839	0.002839
0.002894	0.0028856	0.0028856
0.0029409	0.0029322	0.0029322
0.0029878	0.0029788	0.0029788
0.0030346	0.0030254	0.0030254
0.0030815	0.003072	0.003072
0.0031284	0.0031186	0.0031186
0.0031753	0.0031652	0.0031652
0.0032222	0.0032118	0.0032118
0.003269	0.0032584	0.0032584
0.0033159	0.0033049	0.0033049
0.0033628	0.0033515	0.0033515
0.0034097	0.0033981	0.0033981
0.0034565	0.0034446	0.0034446
0.0035034	0.0034912	0.0034912
0.0035503	0.0035377	0.0035377
0.0035972	0.0035842	0.0035843
0.003644	0.0036308	0.0036308
0.0036909	0.0036773	0.0036773
0.0037378	0.0037238	0.0037238
0.0037846	0.0037703	0.0037704
0.0038315	0.0038169	0.0038169
0.0038784	0.0038634	0.0038634
0.0039253	0.0039099	0.0039099
0.0039721	0.0039564	0.0039564
0.004019	0.0040029	0.0040029
0.0040659	0.0040494	0.0040494
0.0041127	0.0040958	0.0040958
0.0041596	0.0041423	0.0041423
0.0042065	0.0041888	0.0041888
0.0042533	0.0042353	0.0042353
0.0043002	0.0042817	0.0042817
0.004347	0.0043282	0.0043282
0.0043939	0.0043746	0.0043746
0.0044408	0.0044211	0.0044211
0.0044876	0.0044675	0.0044675
0.0045345	0.004514	0.004514
0.0045814	0.0045604	0.0045604
0.0046282	0.0046068	0.0046069
0.0046751	0.0046533	0.0046533
0.004722	0.0046997	0.0046997
0.0047688	0.0047461	0.0047461
0.0048157	0.0047925	0.0047925
0.0048625	0.0048389	0.004839
0.0049094	0.0048853	0.0048854
0.0049563	0.0049318	0.0049318
0.0050031	0.0049781	0.0049782
0.00505	0.0050245	0.0050245
0.0050968	0.0050709	0.0050709
0.0051437	0.0051173	0.0051173
0.0051906	0.0051637	0.0051637
0.0052374	0.0052101	0.0052101
0.0052843	0.0052564	0.0052564
0.0053312	0.0053028	0.0053028
0.005378	0.0053492	0.0053492
0.0054249	0.0053955	0.0053955
0.0054717	0.0054419	0.0054419
0.0055186	0.0054882	0.0054882
0.0055655	0.0055346	0.0055346
0.0056123	0.0055809	0.0055809
0.0056592	0.0056272	0.0056272
0.005706	0.0056736	0.0056736
0.0057529	0.0057199	0.0057199
0.0057998	0.0057662	0.0057662
0.0058466	0.0058125	0.0058125
0.0058935	0.0058588	0.0058589
0.0059403	0.0059052	0.0059052
0.0059872	0.0059515	0.0059515
0.0060341	0.0059978	0.0059978
0.0060809	0.0060441	0.0060441
0.0061278	0.0060904	0.0060904
0.0061747	0.0061366	0.0061367
0.0062215	0.0061829	0.0061829
0.0062684	0.0062292	0.0062292
0.0063152	0.0062755	0.0062755
0.0063621	0.0063218	0.0063218
